Nº;CNPJ;Estado;Tipo;Instituição de Ensino e Pesquisa / Centro de Pesquisa / Incubadora;Qtd Projetos Realizados;Valor Total * R$;Qtd Projetos Realizados;Valor Total Recebido em Projetos em 2017 * R$;Valor Total Recebido do Ministério da Edicação em Investimento em 2017 (* R$);Percentual - Valor Projetos/Valor Investimento Gov
77;13.941.232/0001-96;BA;IE;IFBA - Instituto Federal da Bahia - Instituto Federal da Bahia - SEDE;2;647.408,05;2;647.408,05;5.488.459,00;11,80%
29;10.744.098/0001-45;CE;IE;IFCE - Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Diretoria de Pesquisa e Pós-Graduação;9;4.260.607,96;9;4.260.607,96;11.439.883,00;37,24%
32;10.783.898/0001-75;PB;IE;IFPB - Instituto Federal da Paraíba - Instituto Federal da Paraíba (SEDE);19;3.490.632,02;19;3.490.632,02;12.092.698,00;28,87%
67;24.464.109/0001-48;AL;IE;UFAL - Universidade Federal de Alagoas - Instituto de Computação;5;932.473,28;5;932.473,28;16.907.359,00;5,52%
125;15.180.714/0001-04;BA;IE;UFBA - Universidade Federal da Bahia - Centro de Capacitação Tecnológica em Automação Industrial - CTAI;1;46.543,58;3;577.294,52;22.058.731,00;2,62%
81;15.180.714/0001-04;BA;IE;UFBA - Universidade Federal da Bahia - Departamento de Ciência da Computação - DCC;2;530.750,94;;;;
20;07.272.636/0001-31;CE;IE;UFC - Universidade Federal do Ceará - Departamento de Computação - DC;14;9.011.062,88;36;15.090.467,66;45.169.814,00;33,41%
27;07.272.636/0001-31;CE;IE;UFC - Universidade Federal do Ceará - Departamento de Engenharia de Teleinformática - DETI;13;4.396.432,47;;;;
50;07.272.636/0001-31;CE;IE;UFC - Universidade Federal do Ceará - Departamento de Física - Dfis;9;1.682.972,31;;;;
14;05.055.128/0001-76;PB;IE;UFCG - Universidade Federal de Campina Grande - Unidade Acadêmica de Engenharia Elétrica - EE;38;11.305.259,27;61;20.029.447,30;28.591.154,00;70,05%
21;05.055.128/0001-76;PB;IE;UFCG - Universidade Federal de Campina Grande - Unidade Acadêmica de Sistemas e Computação - DSC;23;8.724.188,03;;;;
115;06.276.103/0001-19;MA;IE;UFMA - Universidade Federal do Maranhão - Departamento de Engenharia de Eletricidade;1;119.191,55;1;119.191,55;11.397.616,00;1,05%
63;17.717.985/0001-04;MG;IE;UFMG - Universidade Federal de Minas Gerais - Departamento de Ciência da Computação - DCC;3;993.864,86;9;1.369.703,13;46.753.729,00;2,93%
95;17.717.985/0001-04;MG;IE;UFMG - Universidade Federal de Minas Gerais - Departamento de Engenharia Elétrica - DEE;2;279.224,18;;;;
122;17.717.985/0001-04;MG;IE;UFMG - Universidade Federal de Minas Gerais - Departamento de Engenharia Eletrônica - DELT;4;96.614,09;;;;
55;34.621.748/0001-23;PA;IE;UFPA - Universidade Federal do Pará - Programa de Pos Graduação em Engenharia Elétrica;6;1.432.514,45;6;1.432.514,45;32.540.548,00;4,40%
112;24.098.477/0001-10;PB;IE;UFPB - Universidade Federal da Paraíba - Departamento de Informática;1;150.000,00;1;150.000,00;34.877.895,00;0,43%
5;24.134.488/0001-08;PE;IE;UFPE - Universidade Federal de Pernambuco - Centro de Informática - CIN;20;44.667.978,87;21;44.766.618,87;34.169.782,00;131,01%
121;24.134.488/0001-08;PE;IE;UFPE - Universidade Federal de Pernambuco - Departamento de Eletrônica e Sistemas - EE;1;98.640,00;;;;
119;92.969.856/0001-98;RS;IE;UFRGS - Universidade Federal do Rio Grande do Sul - Departamento de Engenharia Elétrica - ELETRO;1;102.343,12;2;203.875,18;16.367.913,00;1,25%
120;92.969.856/0001-98;RS;IE;UFRGS - Universidade Federal do Rio Grande do Sul - Instituto de Informática - INF;1;101.532,06;;;;
92;33.663.683/0055-09;RJ;IE;UFRJ - Universidade Federal do Rio de Janeiro - Coordenação dos Programas de Pós-graduação de Engenharia - COPPE;2;333.891,05;2;333.891,05;24.067.795,00;1,39%
48;83.899.526/0001-82;SC;IE;UFSC - Universidade Federal de Santa Catarina - Departamento de Engenharia Elétrica - EEL;3;1.712.730,72;3;1.712.730,72;38.016.357,00;4,51%
83;95.591.764/0001-05;RS;IE;UFSM - Universidade Federal de Santa Maria - Núcleo de Pesquisa e Desenvolvimento em Engenharia Elétrica - NUPEDEE;3;517.673,31;3;517.673,31;37.624.007,00;1,38%
73;00.038.174/0001-43;DF;IE;UnB - Universidade de Brasília - Centro de Apoio ao Desenvolvimento Tecnológico - CDT;6;729.392,88;8;924.808,41;51.315.838,00;1,80%
107;00.038.174/0001-43;DF;INC;UnB CDT - Incubadora de Empresas do Centro de Apoio ao Desenvolvimento Tecnológico;2;195.415,53;;;;
114;21.040.001/0001-30;MG;IE;UNIFEI - Universidade Federal de Itajubá - Instituto de Engenharia de Sistemas e Tecnologias da Informação - IESTI;1;126.497,78;1;126.497,78;7.086.444,00;1,79%
98;75.101.873/0001-90;PR;IE;UTFPR - Universidade Tecnológica Federal do Paraná - Departamento de Pós- Graduação e Pesquisa - DEPOG;5;242.215,11;5;242.215,11;31.341.932,00;0,77%
TOTAL;;;;;197;96.928.050,35;197;96.928.050,35;507.307.954,00;19,11%
