Credenciamentos CATI por Estado/Região - Ano 2020;;;;
REGIÃO;ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora
NORTE;AC;0;0;0
NORTE;AM;2;8;0
NORTE;AP;1;0;0
NORTE;PA;2;0;0
NORTE;RO;0;0;0
NORTE;RR;0;0;0
NORTE;TO;1;0;0
NORDESTE;AL;3;0;0
NORDESTE;BA;17;6;1
NORDESTE;CE;12;2;2
NORDESTE;MA;4;0;0
NORDESTE;PB;11;0;1
NORDESTE;PE;12;5;2
NORDESTE;PI;2;0;0
NORDESTE;RN;6;0;2
NORDESTE;SE;2;0;0
SUL;PR;9;8;3
SUL;RS;34;5;7
SUL;SC;27;5;3
SUDESTE;ES;2;0;1
SUDESTE;MG;22;3;5
SUDESTE;RJ;11;6;3
SUDESTE;SP;76;31;9
CENTRO-OESTE;DF;7;9;2
CENTRO-OESTE;GO;4;0;3
CENTRO-OESTE;MS;2;0;1
CENTRO-OESTE;MT;2;0;0
TOTAL;;271;88;45
