Ano;Projeto de Lei;Dotação Inicial;Dotação Atual
2010;14.649.183.650;15.019.187.485;17.730.101.885
2011;17.759.721.218;18.146.323.788;20.979.554.097
2012;19.728.595.438;20.318.486.231;23.365.974.622
2013;21.304.333.706;21.809.380.429;26.685.276.009
2014;25.025.182.149;25.720.353.266;29.072.196.428
2015;28.266.200.420;28.876.603.045;31.153.367.484
2016;29.876.831.544;29.714.157.652;32.507.925.936
2017;31.889.778.922;32.163.032.218;33.920.739.705
2018;32.920.242.068;33.567.541.962;34.906.276.535
2019;34.613.081.639;35.340.890.352;36.480.714.189
2020;30.642.896.421;29.682.276.792;35.146.026.323
;;;
Status da Seleção:;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;
Unidade Orçamentária: 67 de 913;;;
Esfera: 10 - Orçamento Fiscal;;;
