Ano;Projeto de Lei;Dotação Inicial;Dotação Atual
2010;102.594.586;103.394.586;128.923.758
2011;135.692.087;136.692.087;169.910.566
2012;172.796.232;180.146.232;223.919.869
2013;203.105.227;203.405.227;261.904.771
2014;267.754.048;293.598.466;358.944.762
2015;318.321.558;319.821.558;393.053.837
2016;337.766.275;343.249.671;410.429.266
2017;406.544.075;408.494.075;435.213.432
2018;428.625.265;429.825.265;457.932.152
2019;458.317.130;460.852.136;488.081.802
2020;445.576.198;431.662.379;464.309.287
;;;
Status da Seleção:;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;
Unidade Orçamentária: 26417 - Instituto Federal da Paraíba;;;
Esfera: 10 - Orçamento Fiscal;;;
