Ano;Projeto de Lei;Dotação Inicial;Dotação Atual
2010;3.518.931.342;3.702.513.603;4.587.459.052
2011;4.786.449.040;4.955.506.290;6.013.858.306
2012;6.043.267.830;6.191.947.830;7.640.610.201
2013;6.914.532.260;7.096.339.590;9.000.863.176
2014;8.855.857.373;9.190.016.915;10.955.628.275
2015;10.363.102.766;10.669.540.836;12.559.861.186
2016;11.103.551.629;11.126.926.051;13.098.550.518
2017;12.864.559.676;12.993.725.589;14.589.361.529
2018;13.849.318.343;14.109.255.901;15.354.452.361
2019;15.241.493.620;15.567.166.993;16.564.964.825
2020;15.022.660.674;14.597.717.725;15.889.135.701
;;;
Status da Seleção:;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;
Unidade Orçamentária: 26201 - Colégio Pedro II, 26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, 26257 - Centro Federal de Educação Tecnológica de Minas Gerais, 26258 - Universidade Tecnológica Federal do Paraná, 26402 - Instituto Federal de Alagoas, 26403 - Instituto Federal do Amazonas, 26404 - Instituto Federal Baiano, 26405 - Instituto Federal do Ceará, 26406 - Instituto Federal do Espírito Santo, 26407 - Instituto Federal Goiano, 26408 - Instituto Federal do Maranhão, 26409 - Instituto Federal de Minas Gerais, 26410 - Instituto Federal do Norte de Minas Gerais, 26411 - Instituto Federal do Sudeste de Minas Gerais, 26412 - Instituto Federal do Sul de Minas Gerais, 26413 - Instituto Federal do Triângulo Mineiro, 26414 - Instituto Federal do Mato Grosso, 26415 - Instituto Federal do Mato Grosso do Sul, 26416 - Instituto Federal do Pará, 26417 - Instituto Federal da Paraíba, 26418 - Instituto Federal de Pernambuco, 26419 - Instituto Federal do Rio Grande do Sul, 26420 - Instituto Federal Farroupilha, 26421 - Instituto Federal de Rondônia, 26422 - Instituto Federal Catarinense, 26423 - Instituto Federal de Sergipe, 26424 - Instituto Federal do Tocantins, 26425 - Instituto Federal do Acre, 26426 - Instituto Federal do Amapá, 26427 - Instituto Federal da Bahia, 26428 - Instituto Federal de Brasília, 26429 - Instituto Federal de Goiás, 26430 - Instituto Federal do Sertão Pernambucano, 26431 - Instituto Federal do Piauí, 26432 - Instituto Federal do Paraná, 26433 - Instituto Federal do Rio de Janeiro, 26434 - Instituto Federal Fluminense, 26435 - Instituto Federal do Rio Grande do Norte, 26436 - Instituto Federal Sul-rio-grandense, 26437 - Instituto Federal de Roraima, 26438 - Instituto Federal de Santa Catarina, 26439 - Instituto Federal de São Paulo;;;
Esfera: 10 - Orçamento Fiscal;;;
