Ano;1 - Pessoal e Encargos Sociais;2 - Juros e Encargos da Dívida;3 - Outras Despesas Correntes;4 - Investimentos;5 - Inversões Financeiras;6 - Amortização da Dívida
2010;69,33%;0,00%;22,20%;8,46%;0,02%;0,00%
2011;66,72%;0,00%;23,40%;9,86%;0,02%;0,00%
2012;62,93%;0,00%;24,44%;12,29%;0,34%;0,00%
2013;63,43%;0,00%;26,67%;9,71%;0,19%;0,00%
2014;66,68%;0,00%;24,72%;8,40%;0,20%;0,00%
2015;68,81%;0,00%;23,34%;7,77%;0,07%;0,00%
2016;73,01%;0,00%;22,40%;4,59%;0,00%;0,00%
2017;76,94%;0,00%;20,08%;2,97%;0,01%;0,00%
2018;78,97%;0,00%;19,60%;1,42%;0,00%;0,00%
2019;79,48%;0,00%;19,06%;1,46%;0,00%;0,00%
2020;77,86%;0,00%;20,52%;1,62%;0,00%;0,00%
;;;;;;
Status da Seleção:;;;;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;;;;
Unidade Orçamentária: 26231 - Universidade Federal de Alagoas, 26232 - Universidade Federal da Bahia, 26233 - Universidade Federal do Ceará, 26238 - Universidade Federal de Minas Gerais, 26239 - Universidade Federal do Pará, 26240 - Universidade Federal da Paraíba, 26242 - Universidade Federal de Pernambuco, 26244 - Universidade Federal do Rio Grande do Sul, 26245 - Universidade Federal do Rio de Janeiro, 26246 - Universidade Federal de Santa Catarina, 26247 - Universidade Federal de Santa Maria, 26252 - Universidade Federal de Campina Grande, 26258 - Universidade Tecnológica Federal do Paraná, 26261 - Universidade Federal de Itajubá, 26271 - Fundação Universidade de Brasília, 26272 - Fundação Universidade Federal do Maranhão, 26405 - Instituto Federal do Ceará, 26417 - Instituto Federal da Paraíba, 26427 - Instituto Federal da Bahia;;;;;;
Esfera: 10 - Orçamento Fiscal;;;;;;
