Ano;1 - Pessoal e Encargos Sociais;2 - Juros e Encargos da Dívida;3 - Outras Despesas Correntes;4 - Investimentos;5 - Inversões Financeiras;6 - Amortização da Dívida
2010;68,65%;0,00%;21,21%;10,07%;0,07%;0,00%
2011;64,86%;0,00%;21,59%;13,49%;0,06%;0,00%
2012;61,47%;0,00%;23,00%;15,32%;0,21%;0,00%
2013;62,53%;0,00%;25,49%;11,82%;0,16%;0,00%
2014;64,97%;0,00%;24,13%;10,77%;0,12%;0,00%
2015;67,27%;0,00%;23,50%;9,17%;0,07%;0,00%
2016;70,70%;0,00%;22,53%;6,29%;0,48%;0,00%
2017;75,27%;0,00%;20,73%;3,93%;0,07%;0,00%
2018;77,51%;0,00%;20,28%;2,19%;0,01%;0,00%
2019;78,25%;0,00%;19,73%;2,02%;0,00%;0,00%
2020;76,53%;0,00%;21,20%;1,77%;0,51%;0,00%
;;;;;;
Status da Seleção:;;;;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;;;;
Unidade Orçamentária: 67 de 913;;;;;;
Esfera: 10 - Orçamento Fiscal;;;;;;
