Ano;1 - Pessoal e Encargos Sociais;2 - Juros e Encargos da Dívida;3 - Outras Despesas Correntes;4 - Investimentos;5 - Inversões Financeiras;6 - Amortização da Dívida
2010;60,07%;0,00%;21,02%;18,91%;0,00%;0,00%
2011;56,22%;0,00%;23,59%;20,18%;0,00%;0,00%
2012;52,92%;0,00%;23,31%;23,74%;0,03%;0,00%
2013;55,77%;0,00%;25,85%;18,36%;0,03%;0,00%
2014;57,68%;0,00%;23,14%;19,03%;0,15%;0,00%
2015;64,03%;0,00%;22,70%;13,19%;0,08%;0,00%
2016;72,26%;0,00%;22,26%;5,48%;0,00%;0,00%
2017;76,53%;0,00%;20,25%;3,22%;0,00%;0,00%
2018;78,37%;0,00%;19,28%;2,35%;0,00%;0,00%
2019;78,72%;0,00%;18,80%;2,48%;0,00%;0,00%
2020;78,20%;0,00%;19,37%;2,43%;0,00%;0,00%
;;;;;;
Status da Seleção:;;;;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;;;;
Unidade Orçamentária: 26201 - Colégio Pedro II, 26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, 26257 - Centro Federal de Educação Tecnológica de Minas Gerais, 26258 - Universidade Tecnológica Federal do Paraná, 26402 - Instituto Federal de Alagoas, 26403 - Instituto Federal do Amazonas, 26404 - Instituto Federal Baiano, 26405 - Instituto Federal do Ceará, 26406 - Instituto Federal do Espírito Santo, 26407 - Instituto Federal Goiano, 26408 - Instituto Federal do Maranhão, 26409 - Instituto Federal de Minas Gerais, 26410 - Instituto Federal do Norte de Minas Gerais, 26411 - Instituto Federal do Sudeste de Minas Gerais, 26412 - Instituto Federal do Sul de Minas Gerais, 26413 - Instituto Federal do Triângulo Mineiro, 26414 - Instituto Federal do Mato Grosso, 26415 - Instituto Federal do Mato Grosso do Sul, 26416 - Instituto Federal do Pará, 26417 - Instituto Federal da Paraíba, 26418 - Instituto Federal de Pernambuco, 26419 - Instituto Federal do Rio Grande do Sul, 26420 - Instituto Federal Farroupilha, 26421 - Instituto Federal de Rondônia, 26422 - Instituto Federal Catarinense, 26423 - Instituto Federal de Sergipe, 26424 - Instituto Federal do Tocantins, 26425 - Instituto Federal do Acre, 26426 - Instituto Federal do Amapá, 26427 - Instituto Federal da Bahia, 26428 - Instituto Federal de Brasília, 26429 - Instituto Federal de Goiás, 26430 - Instituto Federal do Sertão Pernambucano, 26431 - Instituto Federal do Piauí, 26432 - Instituto Federal do Paraná, 26433 - Instituto Federal do Rio de Janeiro, 26434 - Instituto Federal Fluminense, 26435 - Instituto Federal do Rio Grande do Norte, 26436 - Instituto Federal Sul-rio-grandense, 26437 - Instituto Federal de Roraima, 26438 - Instituto Federal de Santa Catarina, 26439 - Instituto Federal de São Paulo;;;;;;
Esfera: 10 - Orçamento Fiscal;;;;;;
