Nº;CNPJ;Estado;Tipo;Instituição de Ensino e Pesquisa (IE) / Centro de Pesquisa (CT) / Incubadora (INC);Qtd Projetos Realizados;Valor Total
1;02.437.460/0003-79;SP;CT;ELDORADO - Instituto de Pesquisas Eldorado;53; R$ 120.449.248,84 
2;06.176.586/0001-26;SP;CT;SIDI - Samsung Instituto de Desenvolvimento para a Informática;36; R$ 100.915.542,73 
3;01.203.327/0001-23;PE;CT;C.E.S.A.R - Centro de Estudos e Sistemas Avançados do Recife;50; R$ 75.248.190,95 
4;96.499.728/0001-89;SP;CT;VENTURUS - Venturus Centro de Inovação Tecnológica;55; R$ 56.272.972,49 
5;24.134.488/0001-08;PE;IE;UFPE - Universidade Federal de Pernambuco - Centro de Informática - CIN;20; R$ 44.667.978,87 
6;05.684.573/0001-03;SP;CT;FIT - Flextronics Instituto de Tecnologia;32; R$ 29.739.510,15 
7;24.492.886/0001-04;MG;IE;INATEL - Instituto Nacional de Telecomunicações - Instituto Nacional de Telecomunicações, mantido pela FINATEL - Sede;31; R$ 23.052.021,50 
8;59.938.217/0002-70;SP;CT;BRISA SP - BRISA - Sociedade para o Desenvolvimento da Tecnologia da Informação - São Paulo;7; R$ 14.092.665,11 
9;02.437.460/0004-50;RS;CT;ELDORADO PORTO ALEGRE - Instituto de Pesquisas Eldorado - Unidade Porto Alegre;5; R$ 13.595.138,97 
10;01.955.808/0005-19;SP;CT;FITec SJC - Fundação para Inovações Tecnológicas, São José dos Campos;7; R$ 12.693.861,43 
11;02.437.460/0001-07;DF;CT;ELDORADO BRASÍLIA - Instituto de Pesquisa Eldorado;13; R$ 12.407.002,13 
12;03.018.444/0001-42;SP;CT;LSI-TEC - Associação do Laboratório de Sistemas Integráveis Tecnológico;2; R$ 12.146.914,24 
13;07.885.809/0001-97;CE;IE;UECE - Universidade Estadual do Ceará - Núcleo de Projetos em Tecnologia da Informação - NPTEC;36; R$ 11.637.455,51 
14;05.055.128/0001-76;PB;IE;UFCG - Universidade Federal de Campina Grande - Unidade Acadêmica de Engenharia Elétrica - EE;38; R$ 11.305.259,27 
15;59.938.217/0005-13;BA;CT;BRISA BA - Brisa Sociedade para o Desenvolvimento da Tecnologia da Informação - Unidade Salvador;3; R$ 10.858.667,21 
16;05.684.573/0002-86;SP;CT;FIT JAGUARIUNA - Flextronics Instituto de Tecnologia Unidade Jaguariúna;1; R$ 10.009.798,55 
17;04.614.281/0001-23;CE;CT;ATLÂNTICO - Instituto Atlântico;16; R$ 9.636.285,59 
18;01.955.808/0002-76;MG;CT;FITec MG - Fundação para Inovações Tecnológicas, Minas Gerais;9; R$ 9.178.174,79 
19;88.630.413/0002-81;RS;IE;PUC RS - Pontifícia Universidade Católica do Rio Grande do Sul - Faculdade de Informática - FACIN;20; R$ 9.063.060,37 
20;07.272.636/0001-31;CE;IE;UFC - Universidade Federal do Ceará - Departamento de Computação - DC;14; R$ 9.011.062,88 
21;05.055.128/0001-76;PB;IE;UFCG - Universidade Federal de Campina Grande - Unidade Acadêmica de Sistemas e Computação - DSC;23; R$ 8.724.188,03 
22;68.644.715/0001-10;PR;CT;CITS - Centro Internacional de Tecnologia de Software;25; R$ 6.872.226,51 
23;78.626.363/0001-24;SC;CT;CERTI - Fundação Centros de Referência em Tecnologias Inovadoras;16; R$ 6.441.611,25 
24;05.994.459/0002-52;SP;CT;SIDIA-SP - Samsung Instituto de Desenvolvimento para a Informática da Amazônia (Filial São Paulo);6; R$ 5.742.538,31 
25;07.885.809/0001-97;CE;IE;UECE - Universidade Estadual do Ceará - Núcleo de Excelencia em Gestão, Inovação, Tecnologia e Conhecimento - GESTIC;9; R$ 5.269.720,01 
26;01.955.808/0001-95;PE;CT;FITec PE - Fundação para Inovações Tecnológicas, Pernambuco;17; R$ 4.419.343,38 
27;07.272.636/0001-31;CE;IE;UFC - Universidade Federal do Ceará - Departamento de Engenharia de Teleinformática - DETI;13; R$ 4.396.432,47 
28;33.555.921/0001-70;RJ;IE;PUC Rio - Pontifícia Universidade Católica do Rio de Janeiro - Departamento de Informática - INF;2; R$ 4.346.923,21 
29;10.744.098/0001-45;CE;IE;IFCE - Instituto Federal de Educação, Ciência e Tecnologia do Ceará - Diretoria de Pesquisa e Pós-Graduação;9; R$ 4.260.607,96 
30;02.641.663/0001-10;SP;CT;CPqD - Centro de Pesquisa e Desenvolvimento em Telecomunicações;29; R$ 3.958.734,10 
31;76.659.820/0001-51;PR;IE;PUC PR - Pontifícia Universidade Católica do Paraná - Escola Politécnica;10; R$ 3.572.584,67 
32;10.783.898/0001-75;PB;IE;IFPB - Instituto Federal da Paraíba - Instituto Federal da Paraíba (SEDE);19; R$ 3.490.632,02 
33;00.331.801/0004-82;DF;IE;UCB - Universidade Católica de Brasília - Direção do Curso de Ciência da Computação;1; R$ 2.916.509,53 
34;46.068.425/0001-33;SP;IE;UNICAMP - Universidade Estadual de Campinas - Instituto de Computação - IC;10; R$ 2.874.464,02 
35;04.835.151/0001-10;BA;CT;CEPEDI - Centro de Pesquisas e Desenvolvimento Tecnológico em Informática e Eletroeletrônica de Ilhéus;14; R$ 2.793.131,33 
36;06.328.646/0001-89;BA;CT;IRT - Instituto Recôncavo de Tecnologia;12; R$ 2.701.991,08 
37;59.938.217/0001-90;DF;CT;BRISA DF - BRISA - Sociedade para o Desenvolvimento da Tecnologia da Informação - Distrito Federal;5; R$ 2.663.084,30 
38;60.967.551/0001-50;SP;IE;MACKENZIE - Universidade Presbiteriana Mackenzie - Programa de Pós- graduação em Engenharia Elétrica;2; R$ 2.562.375,40 
39;02.939.127/0001-04;SP;CT;FACTI - Fundação de Apoio à Capacitação em TI;4; R$ 2.446.355,04 
40;01.955.808/0004-38;SP;CT;FITec SP - Fundação para Inovações Tecnológicas, São Paulo;4; R$ 2.383.538,40 
41;05.123.972/0001-97;DF;CT;CTS - Instituto Centro de Pesquisa e Desenvolvimento em Tecnologia de Software;5; R$ 2.255.115,58 
42;92.959.006/0008-85;RS;IE;UNISINOS - Universidade do Vale do Rio dos Sinos - Instituto de Semicondutores Unisinos - ITT CHIP;1; R$ 2.153.474,16 
43;66.025.530/0001-04;SP;IE;USP - Universidade de São Paulo - Escola Politécnica/Departamento de Engenharia de Sistemas Eletrônicos - PSI POLI;3; R$ 2.107.568,69 
44;50.644.053/0001-13;SP;CT;INCOR-HC - Instituto do Coração do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo;1; R$ 2.095.976,04 
